tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
237561	Candida albicans SC5314	30515418	0	live	CAALFM_CR06190CA	CAALFM_CR06190CA	ncRNA			R	NC_032096.1	1324260	1324350	minus	1	
237561	Candida albicans SC5314	30515417	0	live	CAALFM_CR05960WA	CAALFM_CR05960WA	hypothetical protein	; hypothetical protein		R	NC_032096.1	1249568	1249843	plus	1	
237561	Candida albicans SC5314	30515416	0	live	tS(AGA)1	CAALFM_CR05930CA	tRNA			R	NC_032096.1	1243713	1243794	minus	0	
237561	Candida albicans SC5314	30515415	0	live	tS(AGA)3	CAALFM_CR05870WA	tRNA			R	NC_032096.1	1234600	1234681	plus	0	
237561	Candida albicans SC5314	30515414	0	live	tV(AAC)4	CAALFM_CR05850WA	tRNA			R	NC_032096.1	1233214	1233287	plus	0	
237561	Candida albicans SC5314	30515413	0	live	tP(UGG)4	CAALFM_CR05820CA	tRNA			R	NC_032096.1	1230058	1230148	minus	0	
237561	Candida albicans SC5314	30515412	0	live	tP(UGG)5	CAALFM_CR05810CA	tRNA			R	NC_032096.1	1229471	1229561	minus	0	
237561	Candida albicans SC5314	30515411	0	live	tC(GCA)1	CAALFM_CR05600CA	tRNA			R	NC_032096.1	1190939	1191036	minus	0	
237561	Candida albicans SC5314	30515410	0	live	tC(GCA)2	CAALFM_CR05590CA	tRNA			R	NC_032096.1	1190766	1190860	minus	0	
237561	Candida albicans SC5314	30515409	0	live	CAALFM_CR05470CA	CAALFM_CR05470CA	ncRNA			R	NC_032096.1	1164573	1164644	minus	1	
237561	Candida albicans SC5314	30515408	0	live	tR(ACG)1	CAALFM_CR05410CA	tRNA			R	NC_032096.1	1158985	1159078	minus	0	
237561	Candida albicans SC5314	30515407	0	live	tR(ACG)2	CAALFM_CR05400CA	tRNA			R	NC_032096.1	1158859	1158954	minus	0	
237561	Candida albicans SC5314	30515406	0	live	CAALFM_CR05370WA	CAALFM_CR05370WA	ncRNA			R	NC_032096.1	1153825	1155368	plus	1	
237561	Candida albicans SC5314	30515405	0	live	CAALFM_CR05350WA	CAALFM_CR05350WA	ncRNA			R	NC_032096.1	1151638	1151704	plus	1	
237561	Candida albicans SC5314	30515404	0	live	CAALFM_CR05330WA	CAALFM_CR05330WA	hypothetical protein	; hypothetical protein		R	NC_032096.1	1147599	1147784	plus	1	
237561	Candida albicans SC5314	30515403	0	live	CAALFM_CR05150WA	CAALFM_CR05150WA	mitochondrial 54S ribosomal protein YmL44	; mitochondrial 54S ribosomal protein YmL44		R	NC_032096.1	1115354	1115629	plus	1	
237561	Candida albicans SC5314	30515402	0	live	VMA13	CAALFM_CR05080WA	H(+)-transporting V1 sector ATPase subunit H	; H(+)-transporting V1 sector ATPase subunit H		R	NC_032096.1	1099596	1101072	plus	2	
237561	Candida albicans SC5314	30515401	0	live	tH(GUG)1	CAALFM_CR05070WA	tRNA			R	NC_032096.1	1098929	1099026	plus	0	
237561	Candida albicans SC5314	30515400	0	live	MVB12	CAALFM_CR04790WA	Mvb12p	; Mvb12p		R	NC_032096.1	1037049	1037616	plus	2	
237561	Candida albicans SC5314	30515399	0	live	CAALFM_CR04750WA	CAALFM_CR04750WA	hypothetical protein	; hypothetical protein		R	NC_032096.1	1032104	1032370	plus	1	
237561	Candida albicans SC5314	30515398	0	live	tS(GCU)1	CAALFM_CR04700CA	tRNA			R	NC_032096.1	1020200	1020314	minus	0	
237561	Candida albicans SC5314	30515397	0	live	tS(GCU)2	CAALFM_CR04690CA	tRNA			R	NC_032096.1	1019991	1020106	minus	0	
237561	Candida albicans SC5314	30515396	0	live	CAALFM_CR04650WA	CAALFM_CR04650WA	hypothetical protein	; hypothetical protein		R	NC_032096.1	1015922	1016209	plus	1	
237561	Candida albicans SC5314	30515395	0	live	PRE6	CAALFM_CR04550WA	proteasome core particle subunit alpha 4	; proteasome core particle subunit alpha 4		R	NC_032096.1	999810	1000746	plus	3	
237561	Candida albicans SC5314	30515394	0	live	MIM1	CAALFM_CR04520WA	Mim1p	; Mim1p		R	NC_032096.1	997160	997549	plus	1	
237561	Candida albicans SC5314	30515393	0	live	CAALFM_CR04400WA	CAALFM_CR04400WA	hypothetical protein	; hypothetical protein		R	NC_032096.1	977144	977368	plus	1	
237561	Candida albicans SC5314	30515392	0	live	SCR1	CAALFM_CR04275WA	ncRNA			R	NC_032096.1	955228	955492	plus	1	
237561	Candida albicans SC5314	30515391	0	live	SEC22	CAALFM_CR03970CA	SNAP receptor	; SNAP receptor		R	NC_032096.1	899035	899762	minus	2	
237561	Candida albicans SC5314	30515390	0	live	RPS30	CAALFM_CR03770CA	ribosomal 40S subunit protein S30B	; ribosomal 40S subunit protein S30B		R	NC_032096.1	840282	840809	minus	2	
237561	Candida albicans SC5314	30515389	0	live	CAALFM_CR03260WA	CAALFM_CR03260WA	hypothetical protein	; hypothetical protein		R	NC_032096.1	731819	732900	plus	2	
237561	Candida albicans SC5314	30515388	0	live	CAALFM_CR03190CA	CAALFM_CR03190CA	ncRNA			R	NC_032096.1	718810	719053	minus	1	
237561	Candida albicans SC5314	30515387	0	live	MLC1	CAALFM_CR03090CA	Mlc1p	; Mlc1p		R	NC_032096.1	701827	702325	minus	2	
237561	Candida albicans SC5314	30515386	0	live	RPL28	CAALFM_CR03030CA	ribosomal 60S subunit protein L28	; ribosomal 60S subunit protein L28		R	NC_032096.1	692731	693531	minus	2	
237561	Candida albicans SC5314	30515385	0	live	ERV1	CAALFM_CR03010CA	flavin-linked sulfhydryl oxidase	; flavin-linked sulfhydryl oxidase		R	NC_032096.1	690457	691064	minus	2	
237561	Candida albicans SC5314	30515384	0	live	CAALFM_CR02900WA	CAALFM_CR02900WA	hypothetical protein			R	NC_032096.1	661103	661894	plus	0	
237561	Candida albicans SC5314	30515383	0	live	CAALFM_CR02660CA	CAALFM_CR02660CA	ncRNA			R	NC_032096.1	612660	612749	minus	1	
237561	Candida albicans SC5314	30515382	0	live	CAALFM_CR02470WA	CAALFM_CR02470WA	ncRNA			R	NC_032096.1	547329	547457	plus	1	
237561	Candida albicans SC5314	30515381	0	live	CAALFM_CR02320WA	CAALFM_CR02320WA	ncRNA			R	NC_032096.1	516594	516683	plus	1	
237561	Candida albicans SC5314	30515380	0	live	tV(AAC)3	CAALFM_CR02310CA	tRNA			R	NC_032096.1	515738	515811	minus	0	
237561	Candida albicans SC5314	30515379	0	live	tL(AAG)1	CAALFM_CR02080WA	tRNA			R	NC_032096.1	456551	456671	plus	0	
237561	Candida albicans SC5314	30515378	0	live	CAALFM_CR01850CA	CAALFM_CR01850CA	hypothetical protein			R	NC_032096.1	417580	417834	minus	0	
237561	Candida albicans SC5314	30515377	0	live	CAALFM_CR01840WA	CAALFM_CR01840WA	hypothetical protein			R	NC_032096.1	417069	417639	plus	0	
237561	Candida albicans SC5314	30515376	0	live	CAALFM_CR01490CA	CAALFM_CR01490CA	Arf family guanine nucleotide exchange factor	; Arf family guanine nucleotide exchange factor		R	NC_032096.1	344477	344854	minus	2	
237561	Candida albicans SC5314	30515375	0	live	tL(UAA)2	CAALFM_CR01450CA	tRNA			R	NC_032096.1	339491	339606	minus	0	
237561	Candida albicans SC5314	30515374	0	live	CAALFM_CR01440CA	CAALFM_CR01440CA	hypothetical protein	; hypothetical protein		R	NC_032096.1	338122	338310	minus	1	
237561	Candida albicans SC5314	30515373	0	live	CAALFM_CR01300WA	CAALFM_CR01300WA	hypothetical protein	; hypothetical protein		R	NC_032096.1	310826	311203	plus	2	
237561	Candida albicans SC5314	30515372	0	live	SFT1	CAALFM_CR01190CA	Sft1p	; Sft1p		R	NC_032096.1	276255	276551	minus	1	
237561	Candida albicans SC5314	30515371	0	live	CAALFM_CR00910WA	CAALFM_CR00910WA	hypothetical protein	; hypothetical protein		R	NC_032096.1	206330	206494	plus	1	
237561	Candida albicans SC5314	30515370	0	live	CAALFM_CR00890CA	CAALFM_CR00890CA	hypothetical protein	; hypothetical protein		R	NC_032096.1	201467	201727	minus	1	
237561	Candida albicans SC5314	30515369	0	live	tT(AGU)3	CAALFM_CR00730CA	tRNA			R	NC_032096.1	172432	172504	minus	0	
237561	Candida albicans SC5314	30515368	0	live	CAALFM_CR00500CA	CAALFM_CR00500CA	ncRNA			R	NC_032096.1	120697	120831	minus	1	
237561	Candida albicans SC5314	30515367	0	live	CAALFM_CR00450CA	CAALFM_CR00450CA	ncRNA			R	NC_032096.1	112872	112934	minus	1	
237561	Candida albicans SC5314	30515366	0	live	CAALFM_CR00430CA	CAALFM_CR00430CA	hypothetical protein	; hypothetical protein		R	NC_032096.1	107586	107855	minus	1	
237561	Candida albicans SC5314	30515365	0	live	CAALFM_CR00340CA	CAALFM_CR00340CA	hypothetical protein	; hypothetical protein		R	NC_032096.1	86887	87078	minus	1	
237561	Candida albicans SC5314	30515364	0	live	ATP17	CAALFM_CR00250WA	F1F0 ATP synthase subunit f	; F1F0 ATP synthase subunit f		R	NC_032096.1	62794	63164	plus	2	
237561	Candida albicans SC5314	30515363	0	live	LSM6	CAALFM_CR00240WA	U4/U6-U5 snRNP complex subunit	; U4/U6-U5 snRNP complex subunit		R	NC_032096.1	62271	62572	plus	2	
237561	Candida albicans SC5314	30515362	0	live	tL(CAA)6	CAALFM_CR00030WA	tRNA			R	NC_032096.1	10308	10418	plus	0	
237561	Candida albicans SC5314	30515361	0	live	CAALFM_C704340CA	CAALFM_C704340CA	hypothetical protein	; hypothetical protein		7	NC_032095.1	942019	942219	minus	1	
237561	Candida albicans SC5314	30515360	0	live	tL(UAA)5	CAALFM_C703950CA	tRNA			7	NC_032095.1	865870	865985	minus	0	
237561	Candida albicans SC5314	30515359	0	live	CAALFM_C703380WA	CAALFM_C703380WA	hypothetical protein	; hypothetical protein		7	NC_032095.1	744358	744657	plus	1	
237561	Candida albicans SC5314	30515358	0	live	HHO1	CAALFM_C703180CA	histone	; histone		7	NC_032095.1	691394	692238	minus	3	
237561	Candida albicans SC5314	30515357	0	live	CAALFM_C702510WA	CAALFM_C702510WA	U6 snRNA complex subunit	; U6 snRNA complex subunit		7	NC_032095.1	540438	540911	plus	2	
237561	Candida albicans SC5314	30515356	0	live	CAALFM_C702190WA	CAALFM_C702190WA	ncRNA			7	NC_032095.1	479891	480038	plus	1	
237561	Candida albicans SC5314	30515355	0	live	TOM7	CAALFM_C701890CA	Tom7p	; Tom7p		7	NC_032095.1	405642	405839	minus	1	
237561	Candida albicans SC5314	30515354	0	live	STE18	CAALFM_C701730CA	Ste18p	; Ste18p		7	NC_032095.1	373998	374338	minus	2	
237561	Candida albicans SC5314	30515353	0	live	CAALFM_C701610WA	CAALFM_C701610WA	hypothetical protein	; hypothetical protein		7	NC_032095.1	347245	347582	plus	2	
237561	Candida albicans SC5314	30515352	0	live	CAALFM_C701260WA	CAALFM_C701260WA	ncRNA			7	NC_032095.1	258488	258578	plus	1	
237561	Candida albicans SC5314	30515351	0	live	CAALFM_C701160CA	CAALFM_C701160CA	hypothetical protein	; hypothetical protein		7	NC_032095.1	245475	245753	minus	1	
237561	Candida albicans SC5314	30515350	0	live	ACB1	CAALFM_C700750WA	long-chain fatty acid transporter	; long-chain fatty acid transporter		7	NC_032095.1	143529	143912	plus	2	
237561	Candida albicans SC5314	30515349	0	live	RPS28B	CAALFM_C700710WA	ribosomal 40S subunit protein S28B	; ribosomal 40S subunit protein S28B		7	NC_032095.1	131585	131860	plus	2	
237561	Candida albicans SC5314	30515348	0	live	CAALFM_C700540WA	CAALFM_C700540WA	ncRNA			7	NC_032095.1	88271	88384	plus	1	
237561	Candida albicans SC5314	30515347	0	live	SOD3	CAALFM_C700110WA	Sod3p	; Sod3p		7	NC_032095.1	15982	16662	plus	2	
237561	Candida albicans SC5314	30515346	0	live	tL(CAA)3	CAALFM_C604460WA	tRNA			6	NC_032094.1	992696	992810	plus	0	
237561	Candida albicans SC5314	30515345	0	live	CAALFM_C604250WA	CAALFM_C604250WA	cytochrome c oxidase subunit VIb	; cytochrome c oxidase subunit VIb		6	NC_032094.1	936924	937175	plus	1	
237561	Candida albicans SC5314	30515344	0	live	CAALFM_C604200CA	CAALFM_C604200CA	hypothetical protein			6	NC_032094.1	926947	927099	minus	0	
237561	Candida albicans SC5314	30515343	0	live	CAALFM_C604150WA	CAALFM_C604150WA	hypothetical protein	; hypothetical protein		6	NC_032094.1	911713	911964	plus	1	
237561	Candida albicans SC5314	30515342	0	live	tA(UGC)2	CAALFM_C603870CA	tRNA			6	NC_032094.1	843109	843181	minus	0	
237561	Candida albicans SC5314	30515341	0	live	CAALFM_C603130WA	CAALFM_C603130WA	hypothetical protein	; hypothetical protein		6	NC_032094.1	658611	658802	plus	1	
237561	Candida albicans SC5314	30515340	0	live	CAALFM_C602400WA	CAALFM_C602400WA	ncRNA			6	NC_032094.1	498068	498158	plus	1	
237561	Candida albicans SC5314	30515339	0	live	CAALFM_C602390WA	CAALFM_C602390WA	ncRNA			6	NC_032094.1	497760	497843	plus	1	
237561	Candida albicans SC5314	30515338	0	live	RPL25	CAALFM_C601970CA	ribosomal 60S subunit protein L25	; ribosomal 60S subunit protein L25		6	NC_032094.1	402753	403626	minus	2	
237561	Candida albicans SC5314	30515337	0	live	CAALFM_C601940WA	CAALFM_C601940WA	hypothetical protein	; hypothetical protein		6	NC_032094.1	398675	398908	plus	1	
237561	Candida albicans SC5314	30515336	0	live	tA(UGC)1	CAALFM_C601800WA	tRNA			6	NC_032094.1	378683	378755	plus	0	
237561	Candida albicans SC5314	30515335	0	live	RPL32	CAALFM_C601700WA	ribosomal 60S subunit protein L32	; ribosomal 60S subunit protein L32		6	NC_032094.1	356945	357782	plus	2	
237561	Candida albicans SC5314	30515334	0	live	MED19	CAALFM_C601640WA	Med19p	; Med19p		6	NC_032094.1	339591	340175	plus	2	
237561	Candida albicans SC5314	30515333	0	live	CAALFM_C601540CA	CAALFM_C601540CA	ncRNA			6	NC_032094.1	310465	310526	minus	1	
237561	Candida albicans SC5314	30515332	0	live	CAALFM_C601530CA	CAALFM_C601530CA	proteolipid ATPase	; proteolipid ATPase		6	NC_032094.1	310350	310466	minus	1	
237561	Candida albicans SC5314	30515331	0	live	CAALFM_C601340CA	CAALFM_C601340CA	phosphatidylglycerophosphatase	; phosphatidylglycerophosphatase		6	NC_032094.1	267237	267944	minus	2	
237561	Candida albicans SC5314	30515330	0	live	CAALFM_C601210WA	CAALFM_C601210WA	hypothetical protein	; hypothetical protein		6	NC_032094.1	237854	238266	plus	2	
237561	Candida albicans SC5314	30515329	0	live	CAALFM_C600680CA	CAALFM_C600680CA	hypothetical protein	; hypothetical protein		6	NC_032094.1	118692	119232	minus	2	
237561	Candida albicans SC5314	30515328	0	live	RPS13	CAALFM_C600650CA	ribosomal 40S subunit protein S13	; ribosomal 40S subunit protein S13		6	NC_032094.1	114676	115535	minus	2	
237561	Candida albicans SC5314	30515327	0	live	FCA1	CAALFM_C600620WA	cytosine deaminase	; cytosine deaminase		6	NC_032094.1	112252	112774	plus	2	
237561	Candida albicans SC5314	30515326	0	live	CAALFM_C600530CA	CAALFM_C600530CA	mRNA splicing protein	; mRNA splicing protein		6	NC_032094.1	98053	98313	minus	1	
237561	Candida albicans SC5314	30515325	0	live	DPM2	CAALFM_C600420WA	Dpm2p	; Dpm2p		6	NC_032094.1	74105	74448	plus	2	
237561	Candida albicans SC5314	30515324	0	live	CAALFM_C600220CA	CAALFM_C600220CA	ncRNA			6	NC_032094.1	24672	24754	minus	1	
237561	Candida albicans SC5314	30515323	0	live	CAALFM_C600120WA	CAALFM_C600120WA	hypothetical protein	; hypothetical protein		6	NC_032094.1	13533	13778	plus	1	
237561	Candida albicans SC5314	30515322	0	live	tL(CAA)5	CAALFM_C600060WA	tRNA			6	NC_032094.1	6928	7038	plus	0	
237561	Candida albicans SC5314	30515321	0	live	tA(AGC)5	CAALFM_C504760WA	tRNA			5	NC_032093.1	1035099	1035171	plus	0	
237561	Candida albicans SC5314	30515320	0	live	CAALFM_C504690CA	CAALFM_C504690CA	hypothetical protein	; hypothetical protein		5	NC_032093.1	1019083	1019319	minus	1	
237561	Candida albicans SC5314	30515319	0	live	RPL43A	CAALFM_C504590CA	ribosomal 60S subunit protein L43A	; ribosomal 60S subunit protein L43A		5	NC_032093.1	997099	997750	minus	2	
237561	Candida albicans SC5314	30515318	0	live	CUP1	CAALFM_C504560CA	Cup1p	; Cup1p		5	NC_032093.1	992382	992483	minus	1	
237561	Candida albicans SC5314	30515317	0	live	CAALFM_C504480CA	CAALFM_C504480CA	hypothetical protein	; hypothetical protein		5	NC_032093.1	981163	981432	minus	1	
237561	Candida albicans SC5314	30515316	0	live	CAALFM_C504460CA	CAALFM_C504460CA	hypothetical protein	; hypothetical protein		5	NC_032093.1	979414	979596	minus	1	
237561	Candida albicans SC5314	30515315	0	live	CAALFM_C504450CA	CAALFM_C504450CA	hypothetical protein			5	NC_032093.1	979077	979379	minus	0	
237561	Candida albicans SC5314	30515314	0	live	CAALFM_C504330WA	CAALFM_C504330WA	hypothetical protein	; hypothetical protein		5	NC_032093.1	960735	961004	plus	1	
237561	Candida albicans SC5314	30515313	0	live	PGA56	CAALFM_C503900WA	Pga56p	; Pga56p		5	NC_032093.1	856564	856818	plus	1	
237561	Candida albicans SC5314	30515312	0	live	CAALFM_C503890CA	CAALFM_C503890CA	hypothetical protein	; hypothetical protein		5	NC_032093.1	855432	855689	minus	1	
237561	Candida albicans SC5314	30515311	0	live	CAALFM_C503450WA	CAALFM_C503450WA	ncRNA			5	NC_032093.1	776792	776872	plus	1	
237561	Candida albicans SC5314	30515310	0	live	CAALFM_C503440WA	CAALFM_C503440WA	hypothetical protein	; hypothetical protein		5	NC_032093.1	775455	775670	plus	1	
237561	Candida albicans SC5314	30515309	0	live	tE(UUC)5	CAALFM_C503420WA	tRNA			5	NC_032093.1	769601	769694	plus	0	
237561	Candida albicans SC5314	30515308	0	live	CAALFM_C503400CA	CAALFM_C503400CA	Sm-like protein	; Sm-like protein		5	NC_032093.1	767218	767744	minus	3	
237561	Candida albicans SC5314	30515307	0	live	CAALFM_C503290CA	CAALFM_C503290CA	mitochondrial 37S ribosomal protein YmS-T	; mitochondrial 37S ribosomal protein YmS-T		5	NC_032093.1	744290	744577	minus	1	
237561	Candida albicans SC5314	30515306	0	live	CAALFM_C503110CA	CAALFM_C503110CA	mRNA splicing protein	; mRNA splicing protein		5	NC_032093.1	690600	691057	minus	2	
237561	Candida albicans SC5314	30515305	0	live	CAALFM_C502850WA	CAALFM_C502850WA	ncRNA			5	NC_032093.1	637935	638080	plus	1	
237561	Candida albicans SC5314	30515304	0	live	CAALFM_C502810WA	CAALFM_C502810WA	U4/U6-U5 snRNP complex subunit	; U4/U6-U5 snRNP complex subunit		5	NC_032093.1	629164	629673	plus	2	
237561	Candida albicans SC5314	30515303	0	live	CAALFM_C502190CA	CAALFM_C502190CA	mitochondrial 37S ribosomal protein YMR31	; mitochondrial 37S ribosomal protein YMR31		5	NC_032093.1	487795	488164	minus	2	
237561	Candida albicans SC5314	30515302	0	live	CAALFM_C501900CA	CAALFM_C501900CA	hypothetical protein	; hypothetical protein		5	NC_032093.1	428854	429018	minus	1	
237561	Candida albicans SC5314	30515301	0	live	CAALFM_C501540WA	CAALFM_C501540WA	ribosomal 40S subunit protein S11A	; ribosomal 40S subunit protein S11A		5	NC_032093.1	342887	343737	plus	2	
237561	Candida albicans SC5314	30515300	0	live	CAALFM_C501160CA	CAALFM_C501160CA	ncRNA			5	NC_032093.1	265434	265534	minus	1	
237561	Candida albicans SC5314	30515299	0	live	CAALFM_C501150CA	CAALFM_C501150CA	ncRNA			5	NC_032093.1	265331	265415	minus	1	
237561	Candida albicans SC5314	30515298	0	live	CAALFM_C501030WA	CAALFM_C501030WA	ncRNA			5	NC_032093.1	223245	223308	plus	1	
237561	Candida albicans SC5314	30515297	0	live	CAALFM_C501020CA	CAALFM_C501020CA	hypothetical protein	; hypothetical protein		5	NC_032093.1	222660	222935	minus	1	
237561	Candida albicans SC5314	30515296	0	live	tQ(CUG)1	CAALFM_C500990WA	tRNA			5	NC_032093.1	220201	220272	plus	0	
237561	Candida albicans SC5314	30515295	0	live	tE(UUC)3	CAALFM_C500970WA	tRNA			5	NC_032093.1	217558	217651	plus	0	
237561	Candida albicans SC5314	30515294	0	live	tE(UUC)4	CAALFM_C500960WA	tRNA			5	NC_032093.1	217451	217544	plus	0	
237561	Candida albicans SC5314	30515293	0	live	COF1	CAALFM_C500370WA	cofilin	; cofilin		5	NC_032093.1	67605	68261	plus	3	
237561	Candida albicans SC5314	30515292	0	live	tS(CAG)1	CAALFM_C500360CA	tRNA			5	NC_032093.1	66383	66464	minus	0	
237561	Candida albicans SC5314	30515291	0	live	CAALFM_C500320WA	CAALFM_C500320WA	putative mitochondrial 54S ribosomal protein	; putative mitochondrial 54S ribosomal protein		5	NC_032093.1	54029	54322	plus	1	
237561	Candida albicans SC5314	30515290	0	live	CAALFM_C500120WA	CAALFM_C500120WA	hypothetical protein	; hypothetical protein		5	NC_032093.1	14763	15059	plus	1	
